Date,Visits
31/01/2011,175944
28/02/2011,141230
31/03/2011,184193
30/04/2011,177894
31/05/2011,199465
30/06/2011,200852
31/07/2011,272101
31/08/2011,353191
30/09/2011,287727
31/10/2011,255330
30/11/2011,219011
31/12/2011,244759
31/01/2012,249356
29/02/2012,178749
31/03/2012,249111
30/04/2012,287868
31/05/2012,300318
30/06/2012,331347
31/07/2012,439289
31/08/2012,559802
30/09/2012,433255
31/10/2012,400427
30/11/2012,347861
31/12/2012,328491
31/01/2013,290114
28/02/2013,275015
31/03/2013,331060
30/04/2013,338558
31/05/2013,377694
30/06/2013,425624
31/07/2013,510039
31/08/2013,712493
30/09/2013,506072
31/10/2013,460203
30/11/2013,388519
31/12/2013,339057
31/01/2014,327326
28/02/2014,280861
31/03/2014,369236
30/04/2014,355844
31/05/2014,369341
30/06/2014,388906
31/07/2014,532717
31/08/2014,713435
30/09/2014,496842
31/10/2014,438920
30/11/2014,366455
31/12/2014,364448
31/01/2015,319735
28/02/2015,279589
31/03/2015,357000
30/04/2015,355549
31/05/2015,412806
30/06/2015,417043
31/07/2015,581264
31/08/2015,775545
30/09/2015,535073
31/10/2015,461760
30/11/2015,386894
31/12/2015,373741
31/01/2016,304060
29/02/2016,305257
31/03/2016,379540
30/04/2016,381874
31/05/2016,463705
30/06/2016,414228
31/07/2016,578494
31/08/2016,746414
30/09/2016,593962
31/10/2016,478741
30/11/2016,384125
31/12/2016,362416
31/01/2017,361707
28/02/2017,316852
31/03/2017,423173
30/04/2017,446436
31/05/2017,496801
30/06/2017,531224
31/07/2017,763593
31/08/2017,940129
30/09/2017,722189
31/10/2017,563122
30/11/2017,458869
31/12/2017,458735
31/01/2018,439918
28/02/2018,394105
31/03/2018,484989
30/04/2018,529892
31/05/2018,541752
30/06/2018,606792
31/07/2018,845588
31/08/2018,1040544
30/09/2018,763529
31/10/2018,611152
30/11/2018,485319
31/12/2018,459770
31/01/2019,437218
28/02/2019,389218
31/03/2019,507064
30/04/2019,549761
31/05/2019,618709
30/06/2019,727634
31/07/2019,882331
31/08/2019,1086596
30/09/2019,784280
31/10/2019,665055
30/11/2019,543176
31/12/2019,534732
